task,status
002791,QueryStatus.SUCCESSED
300884,QueryStatus.SUCCESSED
300616,QueryStatus.SUCCESSED
600228,QueryStatus.SUCCESSED
002918,QueryStatus.SUCCESSED
300243,QueryStatus.SUCCESSED
300843,QueryStatus.SUCCESSED
002085,QueryStatus.SUCCESSED
300970,QueryStatus.SUCCESSED
603208,QueryStatus.SUCCESSED
002130,QueryStatus.SUCCESSED
300270,QueryStatus.SUCCESSED
002796,QueryStatus.SUCCESSED
300905,QueryStatus.SUCCESSED
300757,QueryStatus.SUCCESSED
300419,QueryStatus.SUCCESSED
300252,QueryStatus.SUCCESSED
300749,QueryStatus.SUCCESSED
603833,QueryStatus.SUCCESSED
300989,QueryStatus.SUCCESSED
688512,QueryStatus.SUCCESSED
301505,QueryStatus.EMPTY
300374,QueryStatus.SUCCESSED
301503,QueryStatus.EMPTY
688519,QueryStatus.SUCCESSED
300881,QueryStatus.SUCCESSED
300050,QueryStatus.SUCCESSED
833346,QueryStatus.EMPTY
300517,QueryStatus.SUCCESSED
300977,QueryStatus.SUCCESSED
300300,QueryStatus.SUCCESSED
603325,QueryStatus.EMPTY
300892,QueryStatus.SUCCESSED
600743,QueryStatus.SUCCESSED
600159,QueryStatus.SUCCESSED
301227,QueryStatus.EMPTY
002968,QueryStatus.SUCCESSED
002271,QueryStatus.SUCCESSED
002572,QueryStatus.SUCCESSED
002133,QueryStatus.SUCCESSED
301252,QueryStatus.EMPTY
603009,QueryStatus.SUCCESSED
300180,QueryStatus.SUCCESSED
600200,QueryStatus.SUCCESSED
000863,QueryStatus.SUCCESSED
688045,QueryStatus.SUCCESSED
301136,QueryStatus.EMPTY
603326,QueryStatus.SUCCESSED
300845,QueryStatus.SUCCESSED
688419,QueryStatus.SUCCESSED
603255,QueryStatus.SUCCESSED
600376,QueryStatus.SUCCESSED
605289,QueryStatus.SUCCESSED
688702,QueryStatus.SUCCESSED
002043,QueryStatus.SUCCESSED
603180,QueryStatus.SUCCESSED
000002,QueryStatus.SUCCESSED
001324,QueryStatus.SUCCESSED
600683,QueryStatus.SUCCESSED
002708,QueryStatus.SUCCESSED
688687,QueryStatus.SUCCESSED
603709,QueryStatus.SUCCESSED
300476,QueryStatus.SUCCESSED
300172,QueryStatus.SUCCESSED
301022,QueryStatus.EMPTY
300715,QueryStatus.SUCCESSED
603701,QueryStatus.SUCCESSED
600565,QueryStatus.SUCCESSED
002141,QueryStatus.SUCCESSED
300814,QueryStatus.SUCCESSED
300647,QueryStatus.SUCCESSED
002656,QueryStatus.SUCCESSED
300609,QueryStatus.SUCCESSED
603017,QueryStatus.SUCCESSED
000838,QueryStatus.SUCCESSED
688300,QueryStatus.SUCCESSED
603693,QueryStatus.SUCCESSED
300894,QueryStatus.SUCCESSED
001914,QueryStatus.SUCCESSED
301167,QueryStatus.EMPTY
603739,QueryStatus.SUCCESSED
002310,QueryStatus.SUCCESSED
605122,QueryStatus.SUCCESSED
300913,QueryStatus.SUCCESSED
300245,QueryStatus.SUCCESSED
002586,QueryStatus.SUCCESSED
000908,QueryStatus.SUCCESSED
300778,QueryStatus.SUCCESSED
837023,QueryStatus.EMPTY
300826,QueryStatus.SUCCESSED
688590,QueryStatus.SUCCESSED
300292,QueryStatus.SUCCESSED
601138,QueryStatus.SUCCESSED
603226,QueryStatus.SUCCESSED
600804,QueryStatus.SUCCESSED
002798,QueryStatus.SUCCESSED
000656,QueryStatus.SUCCESSED
000608,QueryStatus.SUCCESSED
003012,QueryStatus.SUCCESSED
000524,QueryStatus.SUCCESSED
600684,QueryStatus.SUCCESSED
600375,QueryStatus.SUCCESSED
300949,QueryStatus.SUCCESSED
000922,QueryStatus.SUCCESSED
002289,QueryStatus.SUCCESSED
600462,QueryStatus.SUCCESSED
300564,QueryStatus.SUCCESSED
301019,QueryStatus.EMPTY
600678,QueryStatus.SUCCESSED
000548,QueryStatus.SUCCESSED
301395,QueryStatus.EMPTY
600560,QueryStatus.SUCCESSED
300807,QueryStatus.SUCCESSED
000609,QueryStatus.SUCCESSED
600777,QueryStatus.SUCCESSED
600340,QueryStatus.SUCCESSED
600162,QueryStatus.SUCCESSED
002650,QueryStatus.SUCCESSED
603559,QueryStatus.SUCCESSED
002081,QueryStatus.SUCCESSED
000971,QueryStatus.SUCCESSED
300269,QueryStatus.SUCCESSED
000023,QueryStatus.SUCCESSED
301027,QueryStatus.EMPTY
300746,QueryStatus.SUCCESSED
603236,QueryStatus.SUCCESSED
000514,QueryStatus.SUCCESSED
300675,QueryStatus.SUCCESSED
000615,QueryStatus.SUCCESSED
600070,QueryStatus.SUCCESSED
300452,QueryStatus.SUCCESSED
600136,QueryStatus.SUCCESSED
300986,QueryStatus.SUCCESSED
603890,QueryStatus.SUCCESSED
600715,QueryStatus.SUCCESSED
300307,QueryStatus.SUCCESSED
300108,QueryStatus.SUCCESSED
002217,QueryStatus.SUCCESSED
688059,QueryStatus.SUCCESSED
002325,QueryStatus.SUCCESSED
300168,QueryStatus.SUCCESSED
300275,QueryStatus.SUCCESSED
605268,QueryStatus.SUCCESSED
600266,QueryStatus.SUCCESSED
300466,QueryStatus.SUCCESSED
600257,QueryStatus.SUCCESSED
301056,QueryStatus.EMPTY
300092,QueryStatus.SUCCESSED
002956,QueryStatus.SUCCESSED
603008,QueryStatus.SUCCESSED
002620,QueryStatus.SUCCESSED
300995,QueryStatus.SUCCESSED
301001,QueryStatus.EMPTY
000897,QueryStatus.SUCCESSED
300871,QueryStatus.SUCCESSED
002851,QueryStatus.SUCCESSED
603383,QueryStatus.SUCCESSED
600322,QueryStatus.SUCCESSED
301486,QueryStatus.EMPTY
300162,QueryStatus.SUCCESSED
300720,QueryStatus.SUCCESSED
688389,QueryStatus.SUCCESSED
600325,QueryStatus.SUCCESSED
301012,QueryStatus.EMPTY
300430,QueryStatus.SUCCESSED
301123,QueryStatus.EMPTY
600423,QueryStatus.SUCCESSED
002761,QueryStatus.SUCCESSED
000056,QueryStatus.SUCCESSED
300956,QueryStatus.SUCCESSED
300135,QueryStatus.SUCCESSED
834765,QueryStatus.EMPTY
301336,QueryStatus.EMPTY
000612,QueryStatus.SUCCESSED
688629,QueryStatus.SUCCESSED
300242,QueryStatus.SUCCESSED
002481,QueryStatus.SUCCESSED
000011,QueryStatus.SUCCESSED
688659,QueryStatus.SUCCESSED
301339,QueryStatus.EMPTY
000860,QueryStatus.SUCCESSED
688141,QueryStatus.SUCCESSED
002853,QueryStatus.SUCCESSED
600585,QueryStatus.SUCCESSED
301328,QueryStatus.EMPTY
600791,QueryStatus.SUCCESSED
603313,QueryStatus.SUCCESSED
603216,QueryStatus.SUCCESSED
603716,QueryStatus.SUCCESSED
000888,QueryStatus.SUCCESSED
000617,QueryStatus.SUCCESSED
300145,QueryStatus.SUCCESSED
300935,QueryStatus.SUCCESSED
000809,QueryStatus.SUCCESSED
300686,QueryStatus.SUCCESSED
002055,QueryStatus.SUCCESSED
000717,QueryStatus.SUCCESSED
301163,QueryStatus.EMPTY
301589,QueryStatus.EMPTY
300333,QueryStatus.SUCCESSED
301148,QueryStatus.EMPTY
600165,QueryStatus.SUCCESSED
600533,QueryStatus.SUCCESSED
688772,QueryStatus.SUCCESSED
688498,QueryStatus.SUCCESSED
603916,QueryStatus.SUCCESSED
300592,QueryStatus.SUCCESSED
600365,QueryStatus.SUCCESSED
000789,QueryStatus.SUCCESSED
688256,QueryStatus.SUCCESSED
300931,QueryStatus.SUCCESSED
301208,QueryStatus.EMPTY
300078,QueryStatus.SUCCESSED
603536,QueryStatus.SUCCESSED
002281,QueryStatus.SUCCESSED
301098,QueryStatus.EMPTY
002084,QueryStatus.SUCCESSED
301282,QueryStatus.EMPTY
002999,QueryStatus.SUCCESSED
301024,QueryStatus.EMPTY
600782,QueryStatus.SUCCESSED
600101,QueryStatus.SUCCESSED
600383,QueryStatus.SUCCESSED
688302,QueryStatus.SUCCESSED
603363,QueryStatus.SUCCESSED
002574,QueryStatus.SUCCESSED
600581,QueryStatus.SUCCESSED
300588,QueryStatus.SUCCESSED
300785,QueryStatus.SUCCESSED
002577,QueryStatus.SUCCESSED
600748,QueryStatus.SUCCESSED
688701,QueryStatus.SUCCESSED
603818,QueryStatus.SUCCESSED
600337,QueryStatus.SUCCESSED
000799,QueryStatus.SUCCESSED
002016,QueryStatus.SUCCESSED
000517,QueryStatus.SUCCESSED
600661,QueryStatus.SUCCESSED
002316,QueryStatus.SUCCESSED
833873,QueryStatus.EMPTY
002561,QueryStatus.SUCCESSED
600506,QueryStatus.SUCCESSED
300983,QueryStatus.SUCCESSED
603898,QueryStatus.SUCCESSED
002966,QueryStatus.SUCCESSED
301010,QueryStatus.EMPTY
600675,QueryStatus.SUCCESSED
300237,QueryStatus.SUCCESSED
300865,QueryStatus.SUCCESSED
300635,QueryStatus.SUCCESSED
600802,QueryStatus.SUCCESSED
300789,QueryStatus.SUCCESSED
000665,QueryStatus.SUCCESSED
301137,QueryStatus.EMPTY
300777,QueryStatus.SUCCESSED
002698,QueryStatus.SUCCESSED
601336,QueryStatus.SUCCESSED
002850,QueryStatus.SUCCESSED
600606,QueryStatus.SUCCESSED
605277,QueryStatus.SUCCESSED
603933,QueryStatus.SUCCESSED
002475,QueryStatus.SUCCESSED
688503,QueryStatus.SUCCESSED
600173,QueryStatus.SUCCESSED
000892,QueryStatus.SUCCESSED
002142,QueryStatus.SUCCESSED
688655,QueryStatus.SUCCESSED
301038,QueryStatus.EMPTY
688229,QueryStatus.SUCCESSED
605180,QueryStatus.SUCCESSED
300056,QueryStatus.SUCCESSED
000797,QueryStatus.SUCCESSED
603515,QueryStatus.SUCCESSED
301157,QueryStatus.EMPTY
300271,QueryStatus.SUCCESSED
300266,QueryStatus.SUCCESSED
600936,QueryStatus.SUCCESSED
688296,QueryStatus.SUCCESSED
000010,QueryStatus.SUCCESSED
688328,QueryStatus.SUCCESSED
688038,QueryStatus.SUCCESSED
000090,QueryStatus.SUCCESSED
301591,QueryStatus.EMPTY
300464,QueryStatus.SUCCESSED
603183,QueryStatus.SUCCESSED
002124,QueryStatus.SUCCESSED
603955,QueryStatus.SUCCESSED
003037,QueryStatus.SUCCESSED
603099,QueryStatus.SUCCESSED
600036,QueryStatus.SUCCESSED
301228,QueryStatus.EMPTY
300605,QueryStatus.SUCCESSED
300472,QueryStatus.SUCCESSED
001288,QueryStatus.SUCCESSED
002707,QueryStatus.SUCCESSED
600510,QueryStatus.SUCCESSED
300644,QueryStatus.SUCCESSED
601588,QueryStatus.SUCCESSED
301176,QueryStatus.EMPTY
002628,QueryStatus.SUCCESSED
000712,QueryStatus.SUCCESSED
300234,QueryStatus.SUCCESSED
300604,QueryStatus.SUCCESSED
000718,QueryStatus.SUCCESSED
300094,QueryStatus.SUCCESSED
603186,QueryStatus.SUCCESSED
301070,QueryStatus.EMPTY
300316,QueryStatus.SUCCESSED
600712,QueryStatus.SUCCESSED
600708,QueryStatus.SUCCESSED
300163,QueryStatus.SUCCESSED
000910,QueryStatus.SUCCESSED
300072,QueryStatus.SUCCESSED
002861,QueryStatus.SUCCESSED
836699,QueryStatus.EMPTY
300133,QueryStatus.SUCCESSED
688390,QueryStatus.SUCCESSED
603359,QueryStatus.SUCCESSED
300165,QueryStatus.SUCCESSED
601155,QueryStatus.SUCCESSED
000736,QueryStatus.SUCCESSED
600716,QueryStatus.SUCCESSED
603221,QueryStatus.SUCCESSED
001229,QueryStatus.SUCCESSED
603028,QueryStatus.SUCCESSED
600538,QueryStatus.SUCCESSED
603273,QueryStatus.SUCCESSED
002848,QueryStatus.SUCCESSED
002713,QueryStatus.SUCCESSED
603002,QueryStatus.SUCCESSED
301191,QueryStatus.EMPTY
002856,QueryStatus.SUCCESSED
300417,QueryStatus.SUCCESSED
002795,QueryStatus.SUCCESSED
002388,QueryStatus.SUCCESSED
688500,QueryStatus.SUCCESSED
688269,QueryStatus.SUCCESSED
300717,QueryStatus.SUCCESSED
300213,QueryStatus.SUCCESSED
603356,QueryStatus.SUCCESSED
002463,QueryStatus.SUCCESSED
688368,QueryStatus.SUCCESSED
301356,QueryStatus.EMPTY
002162,QueryStatus.SUCCESSED
600503,QueryStatus.SUCCESSED
300958,QueryStatus.SUCCESSED
600801,QueryStatus.SUCCESSED
301248,QueryStatus.EMPTY
000610,QueryStatus.SUCCESSED
688685,QueryStatus.SUCCESSED
300291,QueryStatus.SUCCESSED
300329,QueryStatus.SUCCESSED
601003,QueryStatus.SUCCESSED
600831,QueryStatus.SUCCESSED
300712,QueryStatus.SUCCESSED
300020,QueryStatus.SUCCESSED
688260,QueryStatus.SUCCESSED
002312,QueryStatus.SUCCESSED
002375,QueryStatus.SUCCESSED
600238,QueryStatus.SUCCESSED
300580,QueryStatus.SUCCESSED
001282,QueryStatus.SUCCESSED
603668,QueryStatus.SUCCESSED
000151,QueryStatus.SUCCESSED
301073,QueryStatus.EMPTY
688257,QueryStatus.SUCCESSED
301365,QueryStatus.EMPTY
002883,QueryStatus.SUCCESSED
300157,QueryStatus.SUCCESSED
603887,QueryStatus.SUCCESSED
600231,QueryStatus.SUCCESSED
300475,QueryStatus.SUCCESSED
000402,QueryStatus.SUCCESSED
600256,QueryStatus.SUCCESSED
300805,QueryStatus.SUCCESSED
688365,QueryStatus.SUCCESSED
002989,QueryStatus.SUCCESSED
002949,QueryStatus.SUCCESSED
301368,QueryStatus.EMPTY
300462,QueryStatus.SUCCESSED
300560,QueryStatus.SUCCESSED
688191,QueryStatus.SUCCESSED
000001,QueryStatus.SUCCESSED
600881,QueryStatus.SUCCESSED
600569,QueryStatus.SUCCESSED
002496,QueryStatus.SUCCESSED
000573,QueryStatus.SUCCESSED
600638,QueryStatus.SUCCESSED
300249,QueryStatus.SUCCESSED
688309,QueryStatus.SUCCESSED
002453,QueryStatus.SUCCESSED
000014,QueryStatus.SUCCESSED
300709,QueryStatus.SUCCESSED
300756,QueryStatus.SUCCESSED
601318,QueryStatus.SUCCESSED
300209,QueryStatus.SUCCESSED
605398,QueryStatus.SUCCESSED
600836,QueryStatus.SUCCESSED
600455,QueryStatus.SUCCESSED
002247,QueryStatus.SUCCESSED
301231,QueryStatus.EMPTY
300767,QueryStatus.SUCCESSED
002830,QueryStatus.SUCCESSED
300518,QueryStatus.SUCCESSED
000697,QueryStatus.SUCCESSED
300386,QueryStatus.SUCCESSED
301158,QueryStatus.EMPTY
000042,QueryStatus.SUCCESSED
002314,QueryStatus.SUCCESSED
600692,QueryStatus.SUCCESSED
300380,QueryStatus.SUCCESSED
600048,QueryStatus.SUCCESSED
002872,QueryStatus.SUCCESSED
600067,QueryStatus.SUCCESSED
600658,QueryStatus.SUCCESSED
301273,QueryStatus.EMPTY
000558,QueryStatus.SUCCESSED
300665,QueryStatus.SUCCESSED
301057,QueryStatus.EMPTY
000099,QueryStatus.SUCCESSED
301288,QueryStatus.EMPTY
688030,QueryStatus.SUCCESSED
600149,QueryStatus.SUCCESSED
300407,QueryStatus.SUCCESSED
301178,QueryStatus.EMPTY
603527,QueryStatus.SUCCESSED
600811,QueryStatus.SUCCESSED
300599,QueryStatus.SUCCESSED
603929,QueryStatus.SUCCESSED
300208,QueryStatus.SUCCESSED
301107,QueryStatus.EMPTY
601528,QueryStatus.SUCCESSED
600720,QueryStatus.SUCCESSED
600201,QueryStatus.SUCCESSED
605188,QueryStatus.SUCCESSED
603816,QueryStatus.SUCCESSED
002369,QueryStatus.SUCCESSED
688125,QueryStatus.SUCCESSED
000401,QueryStatus.SUCCESSED
301320,QueryStatus.EMPTY
000679,QueryStatus.SUCCESSED
688565,QueryStatus.SUCCESSED
301025,QueryStatus.EMPTY
600604,QueryStatus.SUCCESSED
300451,QueryStatus.SUCCESSED
002671,QueryStatus.SUCCESSED
000785,QueryStatus.SUCCESSED
688118,QueryStatus.SUCCESSED
688378,QueryStatus.SUCCESSED
300254,QueryStatus.SUCCESSED
300410,QueryStatus.SUCCESSED
688509,QueryStatus.SUCCESSED
002336,QueryStatus.SUCCESSED
300103,QueryStatus.SUCCESSED
603106,QueryStatus.SUCCESSED
601789,QueryStatus.SUCCESSED
002663,QueryStatus.SUCCESSED
002641,QueryStatus.SUCCESSED
301360,QueryStatus.EMPTY
688048,QueryStatus.SUCCESSED
000935,QueryStatus.SUCCESSED
600939,QueryStatus.SUCCESSED
600491,QueryStatus.SUCCESSED
688312,QueryStatus.SUCCESSED
300948,QueryStatus.SUCCESSED
300468,QueryStatus.SUCCESSED
600819,QueryStatus.SUCCESSED
002384,QueryStatus.SUCCESSED
688004,QueryStatus.SUCCESSED
300232,QueryStatus.SUCCESSED
300864,QueryStatus.SUCCESSED
600345,QueryStatus.SUCCESSED
600657,QueryStatus.SUCCESSED
300645,QueryStatus.SUCCESSED
603866,QueryStatus.SUCCESSED
301237,QueryStatus.EMPTY
003021,QueryStatus.SUCCESSED
300429,QueryStatus.SUCCESSED
688178,QueryStatus.SUCCESSED
600559,QueryStatus.SUCCESSED
300229,QueryStatus.SUCCESSED
002366,QueryStatus.SUCCESSED
000932,QueryStatus.SUCCESSED
603336,QueryStatus.SUCCESSED
002495,QueryStatus.SUCCESSED
000031,QueryStatus.SUCCESSED
300941,QueryStatus.SUCCESSED
300730,QueryStatus.SUCCESSED
301113,QueryStatus.EMPTY
301013,QueryStatus.EMPTY
002971,QueryStatus.SUCCESSED
872808,QueryStatus.EMPTY
601117,QueryStatus.SUCCESSED
000069,QueryStatus.SUCCESSED
603819,QueryStatus.SUCCESSED
300460,QueryStatus.SUCCESSED
603813,QueryStatus.SUCCESSED
600841,QueryStatus.SUCCESSED
300198,QueryStatus.SUCCESSED
002694,QueryStatus.SUCCESSED
601668,QueryStatus.SUCCESSED
000861,QueryStatus.SUCCESSED
600724,QueryStatus.SUCCESSED
300345,QueryStatus.SUCCESSED
000565,QueryStatus.SUCCESSED
300322,QueryStatus.SUCCESSED
300950,QueryStatus.SUCCESSED
000568,QueryStatus.SUCCESSED
301182,QueryStatus.EMPTY
300399,QueryStatus.SUCCESSED
002887,QueryStatus.SUCCESSED
002718,QueryStatus.SUCCESSED
300369,QueryStatus.SUCCESSED
605123,QueryStatus.SUCCESSED
000631,QueryStatus.SUCCESSED
000701,QueryStatus.SUCCESSED
301577,QueryStatus.EMPTY
300823,QueryStatus.SUCCESSED
300650,QueryStatus.SUCCESSED
300074,QueryStatus.SUCCESSED
300061,QueryStatus.SUCCESSED
300903,QueryStatus.SUCCESSED
301041,QueryStatus.EMPTY
002120,QueryStatus.SUCCESSED
601512,QueryStatus.SUCCESSED
601005,QueryStatus.SUCCESSED
002134,QueryStatus.SUCCESSED
688619,QueryStatus.SUCCESSED
300543,QueryStatus.SUCCESSED
000952,QueryStatus.SUCCESSED
301183,QueryStatus.EMPTY
000926,QueryStatus.SUCCESSED
002661,QueryStatus.SUCCESSED
600622,QueryStatus.SUCCESSED
301081,QueryStatus.EMPTY
002587,QueryStatus.SUCCESSED
002374,QueryStatus.SUCCESSED
301272,QueryStatus.EMPTY
300548,QueryStatus.SUCCESSED
300597,QueryStatus.SUCCESSED
300324,QueryStatus.SUCCESSED
688395,QueryStatus.SUCCESSED
301321,QueryStatus.EMPTY
300916,QueryStatus.SUCCESSED
601010,QueryStatus.SUCCESSED
600358,QueryStatus.SUCCESSED
300761,QueryStatus.SUCCESSED
301258,QueryStatus.EMPTY
600854,QueryStatus.SUCCESSED
300044,QueryStatus.SUCCESSED
002719,QueryStatus.SUCCESSED
300988,QueryStatus.SUCCESSED
688171,QueryStatus.SUCCESSED
300091,QueryStatus.SUCCESSED
000638,QueryStatus.SUCCESSED
688195,QueryStatus.SUCCESSED
600302,QueryStatus.SUCCESSED
688175,QueryStatus.SUCCESSED
603176,QueryStatus.SUCCESSED
603580,QueryStatus.SUCCESSED
301519,QueryStatus.EMPTY
603667,QueryStatus.SUCCESSED
001979,QueryStatus.SUCCESSED
300870,QueryStatus.SUCCESSED
601166,QueryStatus.SUCCESSED
300703,QueryStatus.SUCCESSED
002302,QueryStatus.SUCCESSED
600082,QueryStatus.SUCCESSED
300071,QueryStatus.SUCCESSED
601628,QueryStatus.SUCCESSED
000820,QueryStatus.SUCCESSED
688653,QueryStatus.SUCCESSED
300739,QueryStatus.SUCCESSED
300502,QueryStatus.SUCCESSED
300854,QueryStatus.SUCCESSED
301234,QueryStatus.EMPTY
600386,QueryStatus.SUCCESSED
600208,QueryStatus.SUCCESSED
002631,QueryStatus.SUCCESSED
000793,QueryStatus.SUCCESSED
002811,QueryStatus.SUCCESSED
600770,QueryStatus.SUCCESSED
600736,QueryStatus.SUCCESSED
301139,QueryStatus.EMPTY
600593,QueryStatus.SUCCESSED
688041,QueryStatus.SUCCESSED
870976,QueryStatus.EMPTY
603848,QueryStatus.SUCCESSED
688679,QueryStatus.SUCCESSED
688535,QueryStatus.SUCCESSED
000886,QueryStatus.SUCCESSED
603616,QueryStatus.SUCCESSED
300391,QueryStatus.SUCCESSED
000006,QueryStatus.SUCCESSED
601601,QueryStatus.SUCCESSED
001696,QueryStatus.SUCCESSED
300211,QueryStatus.SUCCESSED
000659,QueryStatus.SUCCESSED
000936,QueryStatus.SUCCESSED
300117,QueryStatus.SUCCESSED
002948,QueryStatus.SUCCESSED
300710,QueryStatus.SUCCESSED
000826,QueryStatus.SUCCESSED
000779,QueryStatus.SUCCESSED
301261,QueryStatus.EMPTY
688661,QueryStatus.SUCCESSED
603123,QueryStatus.SUCCESSED
301106,QueryStatus.EMPTY
301128,QueryStatus.EMPTY
603272,QueryStatus.SUCCESSED
000777,QueryStatus.SUCCESSED
603385,QueryStatus.SUCCESSED
300350,QueryStatus.SUCCESSED
300106,QueryStatus.SUCCESSED
301387,QueryStatus.EMPTY
300344,QueryStatus.SUCCESSED
301588,QueryStatus.EMPTY
300115,QueryStatus.SUCCESSED
688090,QueryStatus.SUCCESSED
300505,QueryStatus.SUCCESSED
600846,QueryStatus.SUCCESSED
603516,QueryStatus.SUCCESSED
300486,QueryStatus.SUCCESSED
002178,QueryStatus.SUCCESSED
300875,QueryStatus.SUCCESSED
300964,QueryStatus.SUCCESSED
688096,QueryStatus.SUCCESSED
000715,QueryStatus.SUCCESSED
688215,QueryStatus.SUCCESSED
688151,QueryStatus.SUCCESSED
688448,QueryStatus.SUCCESSED
600865,QueryStatus.SUCCESSED
300590,QueryStatus.SUCCESSED
600373,QueryStatus.SUCCESSED
688051,QueryStatus.SUCCESSED
603637,QueryStatus.SUCCESSED
000898,QueryStatus.SUCCESSED
000627,QueryStatus.SUCCESSED
000536,QueryStatus.SUCCESSED
605287,QueryStatus.SUCCESSED
603458,QueryStatus.SUCCESSED
300570,QueryStatus.SUCCESSED
002821,QueryStatus.SUCCESSED
300248,QueryStatus.SUCCESSED
301314,QueryStatus.EMPTY
301326,QueryStatus.EMPTY
002062,QueryStatus.SUCCESSED
603936,QueryStatus.SUCCESSED
300668,QueryStatus.SUCCESSED
300279,QueryStatus.SUCCESSED
600225,QueryStatus.SUCCESSED
300370,QueryStatus.SUCCESSED
300251,QueryStatus.SUCCESSED
003026,QueryStatus.SUCCESSED
300385,QueryStatus.SUCCESSED
300195,QueryStatus.SUCCESSED
688549,QueryStatus.SUCCESSED
301318,QueryStatus.EMPTY
601077,QueryStatus.SUCCESSED
000590,QueryStatus.SUCCESSED
300520,QueryStatus.SUCCESSED
600629,QueryStatus.SUCCESSED
301396,QueryStatus.EMPTY
300531,QueryStatus.SUCCESSED
000632,QueryStatus.SUCCESSED
300360,QueryStatus.SUCCESSED
002905,QueryStatus.SUCCESSED
002333,QueryStatus.SUCCESSED
603199,QueryStatus.SUCCESSED
600545,QueryStatus.SUCCESSED
600189,QueryStatus.SUCCESSED
301203,QueryStatus.EMPTY
002706,QueryStatus.SUCCESSED
301358,QueryStatus.EMPTY
300909,QueryStatus.SUCCESSED
300967,QueryStatus.SUCCESSED
600882,QueryStatus.SUCCESSED
000672,QueryStatus.SUCCESSED
002638,QueryStatus.SUCCESSED
600696,QueryStatus.SUCCESSED
688115,QueryStatus.SUCCESSED
600639,QueryStatus.SUCCESSED
300308,QueryStatus.SUCCESSED
300561,QueryStatus.SUCCESSED
300478,QueryStatus.SUCCESSED
300684,QueryStatus.SUCCESSED
603421,QueryStatus.SUCCESSED
300615,QueryStatus.SUCCESSED
605228,QueryStatus.SUCCESSED
601998,QueryStatus.SUCCESSED
000995,QueryStatus.SUCCESSED
600326,QueryStatus.SUCCESSED
600996,QueryStatus.SUCCESSED
600626,QueryStatus.SUCCESSED
603062,QueryStatus.SUCCESSED
603222,QueryStatus.SUCCESSED
300411,QueryStatus.SUCCESSED
000965,QueryStatus.SUCCESSED
300975,QueryStatus.SUCCESSED
688020,QueryStatus.SUCCESSED
301338,QueryStatus.EMPTY
603260,QueryStatus.SUCCESSED
003015,QueryStatus.SUCCESSED
600765,QueryStatus.SUCCESSED
002235,QueryStatus.SUCCESSED
002111,QueryStatus.SUCCESSED
300256,QueryStatus.SUCCESSED
300968,QueryStatus.SUCCESSED
688800,QueryStatus.SUCCESSED
